Data zamówienia,Data księgowania,ID Zamówienia,Sklep ID,Produkt ID,Liczba jednostek,Cena jednostkowa,Cena zakupu
24.05.2023,27.05.2023,106571,4,30,1.0,3.000,0.844635
04.05.2023,08.05.2023,83678,6,30,1.0,3.000,0.844635
21.05.2023,24.05.2023,103347,4,37,1.0,3.000,0.844635
14.05.2023,16.05.2023,95177,2,77,1.0,3.000,1.32462
05.05.2023,06.05.2023,84606,7,48,1.0,2.500,0.5876775
14.05.2023,16.05.2023,94572,7,48,1.0,2.500,0.5876775
11.05.2023,14.05.2023,91187,6,46,1.0,2.500,0.5876775
09.05.2023,12.05.2023,89400,1,71,1.0,3.750,1.655775
07.05.2023,09.05.2023,87011,4,50,1.0,2.500,0.5876775
01.05.2023,02.05.2023,80477,1,71,1.0,3.750,1.655775
18.05.2023,23.05.2023,99103,5,55,2.0,4.000,0.940284
03.05.2023,08.05.2023,83518,4,28,0.0,2.000,0.56309
22.05.2023,24.05.2023,103788,1,45,2.0,3.000,0.705213
22.05.2023,23.05.2023,104398,1,41,1.0,4.250,1.19656625
02.05.2023,05.05.2023,81766,4,55,1.0,4.000,0.940284
02.05.2023,04.05.2023,81780,4,50,2.0,2.500,0.5876775
18.05.2023,21.05.2023,100002,5,34,1.0,2.450,0.68978525
09.05.2023,10.05.2023,89262,5,37,2.0,3.000,0.844635
13.05.2023,15.05.2023,94191,1,32,2.0,3.000,0.844635
12.05.2023,15.05.2023,92559,2,32,2.0,3.000,0.844635
20.05.2023,22.05.2023,101803,7,78,0.0,4.500,1.9869299999999999
17.05.2023,19.05.2023,98667,1,40,1.0,3.750,1.0557937499999999
30.05.2023,01.06.2023,null,4,36,1.0,3.750,1.0557937499999999
16.05.2023,18.05.2023,97366,5,79,1.0,3.750,1.655775
13.05.2023,15.05.2023,94148,5,78,1.0,4.500,1.9869299999999999
13.05.2023,16.05.2023,93747,5,83,1.0,14.000,10.28398
10.05.2023,11.05.2023,90688,1,63,0.0,0.800,0.36363680000000004
26.05.2023,29.05.2023,107945,7,41,2.0,4.250,1.19656625
07.05.2023,08.05.2023,87308,4,59,0.0,4.500,1.595457
04.05.2023,08.05.2023,83989,1,23,2.0,2.500,0.7038625
27.05.2023,28.05.2023,109466,6,64,2.0,0.800,0.36363680000000004
21.05.2023,22.05.2023,102864,3,28,2.0,2.000,0.56309
01.05.2023,02.05.2023,80779,2,25,2.0,2.200,0.619399
27.05.2023,31.05.2023,109173,6,41,2.0,4.250,1.19656625
17.05.2023,20.05.2023,98803,6,27,0.0,3.500,0.9854075
16.05.2023,18.05.2023,97844,7,29,0.0,2.500,0.7038625
22.05.2023,24.05.2023,104265,6,29,0.0,2.500,0.7038625
03.05.2023,05.05.2023,82871,7,49,1.0,3.000,0.705213
07.05.2023,10.05.2023,87073,7,43,1.0,3.000,0.705213
31.05.2023,05.06.2023,113878,4,30,1.0,3.000,0.844635
12.05.2023,16.05.2023,93127,4,53,1.0,3.000,0.705213
12.05.2023,17.05.2023,null,5,48,1.0,2.500,0.5876775
04.05.2023,07.05.2023,84296,4,71,1.0,3.750,1.655775
18.05.2023,22.05.2023,99407,1,73,1.0,3.750,1.655775
29.05.2023,30.05.2023,111444,7,61,1.0,4.750,1.6840935
16.05.2023,19.05.2023,96929,5,6,1.0,21.000,11.645487000000001
18.05.2023,20.05.2023,99542,3,87,1.0,2.100,0.5912445
10.05.2023,12.05.2023,90897,2,47,2.0,3.000,0.705213
09.05.2023,12.05.2023,89903,7,22,1.0,2.000,0.56309
24.05.2023,27.05.2023,106112,4,56,1.0,2.550,0.59943105
17.05.2023,19.05.2023,98540,7,41,1.0,4.250,1.19656625
30.05.2023,31.05.2023,112197,1,7,1.0,19.750,10.95230325
28.05.2023,29.05.2023,110620,2,50,2.0,2.500,0.5876775
26.05.2023,27.05.2023,108090,6,61,1.0,4.750,1.6840935
23.05.2023,26.05.2023,104761,5,39,1.0,4.250,1.19656625
09.05.2023,10.05.2023,89339,6,24,2.0,3.000,0.844635
20.05.2023,22.05.2023,101977,4,20,1.0,7.600,5.4920792
14.05.2023,17.05.2023,94646,1,75,1.0,3.500,1.54539
13.05.2023,14.05.2023,93357,1,75,1.0,3.500,1.54539
13.05.2023,15.05.2023,93865,3,20,1.0,7.600,5.4920792
05.05.2023,07.05.2023,85257,4,76,1.0,3.500,1.54539
02.05.2023,04.05.2023,82244,6,33,1.0,3.500,0.9854075
11.05.2023,14.05.2023,91219,4,29,2.0,2.500,0.7038625
